1,molecule,Formaldehyde,"4.0E-7, 4.0E-7","6( 5, 1)- 6( 5, 2)",-19.9242,,line_bottom,line_bottom2,CDMS
2,H2CO,Formaldehyde,"1.3E-6, 1.3E-6","11( 6, 5)-11( 6, 6)",-19.7989,,653.49362,653.49362,CDMS
3,H2CO,Formaldehyde,"2.2E-6, 2.2E-6","7( 5, 2)- 7( 5, 3)",-18.4665,,391.83814,391.83814,CDMS
4,H2CO,Formaldehyde,"2.6E-6, 2.6E-6","17( 7,10)-17( 7,11)",-19.4674,,1109.14532,1109.14532,CDMS
5,H2CO,Formaldehyde,"4.0E-6, 4.0E-6","12( 6, 6)-12( 6, 7)",-18.9425,,695.39847,695.39847,CDMS
6,H2CO,Formaldehyde,"5.0E-6, 5.0E-6","4( 4, 0)- 4( 4, 1)",-17.9758,,223.25287,223.25287,CDMS
7,H2CO,Formaldehyde,"5.8E-6, 5.8E-6","18( 7,11)-18( 7,12)",-18.8709,,1171.95606,1171.95606,CDMS
8,H2CO,Formaldehyde,"9.7E-6, 9.7E-6","8( 5, 3)- 8( 5, 4)",-17.2885,,419.78795,419.78795,CDMS
9,H2CO,Formaldehyde,"1.0800000000000002E-5, 1.08E-5","13( 6, 7)-13( 6, 8)",-18.1754,,740.79623,740.79623,CDMS
10,H2CO,Formaldehyde,"1.25E-5, 1.25E-5","19( 7,12)-19( 7,13)",-18.3197,,1238.25481,1238.25481,CDMS
11,H2CO,Formaldehyde,"1.65E-5, 1.65E-5","26( 8,18)-26( 8,19)",-19.6429,,1974.20037,1974.20038,CDMS
12,H2CO,Formaldehyde,"2.6E-5, 2.6E-5","20( 7,13)-20( 7,14)",-17.8094,,1308.04171,1308.04171,CDMS
13,H2CO,Formaldehyde,"2.71E-5, 2.71E-5","14( 6, 8)-14( 6, 9)",-17.4825,,789.68703,789.68703,CDMS
14,H2CO,Formaldehyde,"3.03E-5, 3.03E-5","27( 8,19)-27( 8,20)",-19.2673,,2068.29023,2068.29024,CDMS
15,H2CO,Formaldehyde,"3.39E-5, 3.39E-5","9( 5, 4)- 9( 5, 5)",-16.2951,,451.23296,451.23296,CDMS
16,H2CO,Formaldehyde,"4.46E-5, 4.46E-5","5( 4, 1)- 5( 4, 2)",-16.1818,,240.727,240.72701,CDMS
17,H2CO,Formaldehyde,"5.19E-5, 5.19E-5","21( 7,14)-21( 7,15)",-17.3361,,1381.31647,1381.31647,CDMS
18,H2CO,Formaldehyde,"5.430000000000001E-5, 5.43E-5","28( 8,20)-28( 8,21)",-18.9164,,2165.85788,2165.85789,CDMS
19,H2CO,Formaldehyde,"6.31E-5, 6.31E-5","15( 6, 9)-15( 6,10)",-16.8526,,842.0713,842.0713,CDMS
20,H2CO,Formaldehyde,"7.02E-5, 7.02E-5","36( 9,27)-36( 9,28)",-19.8168,,3267.31313,3267.31313,CDMS
21,H2CO,Formaldehyde,"9.53E-5, 9.53E-5","29( 8,21)-29( 8,22)",-18.5888,,2266.90232,2266.90232,CDMS
22,H2CO,Formaldehyde,"1.0E-4, 1.0E-4","22( 7,15)-22( 7,16)",-16.8965,,1458.07866,1458.07867,CDMS
23,H2CO,Formaldehyde,"1.027E-4, 1.027E-4","10( 5, 5)-10( 5, 6)",-15.4358,,486.17389,486.17389,CDMS
24,H2CO,Formaldehyde,"1.148E-4, 1.148E-4","37( 9,28)-37( 9,29)",-19.5879,,3395.96524,3395.96524,CDMS
25,H2CO,Formaldehyde,"1.415E-4, 1.415E-4","16( 6,10)-16( 6,11)",-16.2772,,897.94919,897.9492,CDMS
26,H2CO,Formaldehyde,"1.641E-4, 1.641E-4","30( 8,22)-30( 8,23)",-18.2832,,2371.42282,2371.42283,CDMS
27,H2CO,Formaldehyde,"1.852E-4, 1.852E-4","38( 9,29)-38( 9,30)",-19.3758,,3528.07556,3528.07557,CDMS
28,H2CO,Formaldehyde,"1.871E-4, 1.871E-4","23( 7,16)-23( 7,17)",-16.4879,,1538.32829,1538.3283,CDMS
29,H2CO,Formaldehyde,"2.231E-4, 2.231E-4","6( 4, 2)- 6( 4, 3)",-14.8882,,261.69749,261.6975,CDMS
30,H2CO,Formaldehyde,"2.713E-4, 2.713E-4","11( 5, 6)-11( 5, 7)",-14.6801,,524.61117,524.61118,CDMS
31,H2CO,Formaldehyde,"2.772E-4, 2.772E-4","31( 8,23)-31( 8,24)",-17.9985,,2479.41838,2479.41839,CDMS
32,H2CO,Formaldehyde,"2.8960000000000005E-4, 2.896E-4","17( 6,11)-17( 6,12)",-15.7497,,957.32084,957.32086,CDMS
33,H2CO,Formaldehyde,"2.948E-4, 2.948E-4","39( 9,30)-39( 9,31)",-19.1798,,3663.64239,3663.6424,CDMS
34,H2CO,Formaldehyde,"3.403E-4, 3.403E-4","24( 7,17)-24( 7,18)",-16.108,,1622.06491,1622.06493,CDMS
35,H2CO,Formaldehyde,"4.602E-4, 4.602E-4","32( 8,24)-32( 8,25)",-17.7335,,2590.88828,2590.8883,CDMS
36,H2CO,Formaldehyde,"4.634E-4, 4.634E-4","40( 9,31)-40( 9,32)",-18.9993,,3802.66442,3802.66444,CDMS
37,H2CO,Formaldehyde,"5.8E-4, 5.8E-4","18( 6,12)-18( 6,13)",-15.2646,,1020.18654,1020.18657,CDMS
38,H2CO,Formaldehyde,"6.06E-4, 6.06E-4","25( 7,18)-25( 7,19)",-15.7547,,1709.28825,1709.28827,CDMS
39,H2CO,Formaldehyde,"6.352000000000002E-4, 6.352E-4","3( 3, 0)- 3( 3, 1), F= 3- 2",-14.8593,,126.95436,126.95439,CDMS
40,H2CO,Formaldehyde,"6.495999999999999E-4, 6.496E-4","3( 3, 0)- 3( 3, 1), F= 4- 3",-14.8345,,126.95436,126.95439,CDMS
41,H2CO,Formaldehyde,"6.533999999999999E-4, 6.534E-4","3( 3, 0)- 3( 3, 1), F= 2- 2",-13.9317,,126.95436,126.95439,CDMS
42,H2CO,Formaldehyde,"6.533999999999999E-4, 6.534E-4","3( 3, 0)- 3( 3, 1), F= 3- 3",-13.81,,126.95436,126.95439,CDMS
43,H2CO,Formaldehyde,"6.533999999999999E-4, 6.534E-4","3( 3, 0)- 3( 3, 1), F= 4- 4",-13.6533,,126.95436,126.95439,CDMS
44,H2CO,Formaldehyde,"6.545E-4, 6.545E-4","3( 3, 0)- 3( 3, 1)",-13.2573,,126.95436,126.95439,CDMS
45,H2CO,Formaldehyde,"6.566E-4, 6.566E-4","12( 5, 7)-12( 5, 8)",-14.0074,,566.54552,566.54555,CDMS
46,H2CO,Formaldehyde,"6.572E-4, 6.572E-4","3( 3, 0)- 3( 3, 1), F= 3- 4",-14.8243,,126.95436,126.95439,CDMS
47,H2CO,Formaldehyde,"6.716E-4, 6.716E-4","3( 3, 0)- 3( 3, 1), F= 2- 3",-14.8109,,126.95436,126.95439,CDMS
48,H2CO,Formaldehyde,"7.2E-4, 7.2E-4","41( 9,32)-41( 9,33)",-18.8339,,3945.13978,3945.13981,CDMS
49,H2CO,Formaldehyde,"7.515E-4, 7.515E-4","33( 8,25)-33( 8,26)",-17.4875,,2705.83165,2705.83168,CDMS
50,H2CO,Formaldehyde,"8.177E-4, 8.177E-4","7( 4, 3)- 7( 4, 4)",-13.8583,,286.16533,286.16537,CDMS
51,H2CO,Formaldehyde,"0.001044, 0.001044","26( 7,19)-26( 7,20)",-15.4262,,1799.99815,1799.9982,CDMS
52,H2CO,Formaldehyde,"0.0011061, 0.0011061","42( 9,33)-42( 9,34)",-18.683,,4091.06703,4091.06709,CDMS
53,H2CO,Formaldehyde,"0.001111, 0.001111","19( 6,13)-19( 6,14)",-14.8175,,1086.54673,1086.54678,CDMS
54,H2CO,Formaldehyde,"0.0012085, 0.0012085","34( 8,26)-34( 8,27)",-17.2594,,2824.2472,2824.24726,CDMS
55,H2CO,Formaldehyde,"0.0014758, 0.0014758","13( 5, 8)-13( 5, 9)",-13.4036,,611.97766,611.97773,CDMS
56,H2CO,Formaldehyde,"0.0016812, 0.0016812","43( 9,34)-43( 9,35)",-18.5463,,4240.44431,4240.44439,CDMS
57,H2CO,Formaldehyde,"0.0017694000000000004, 0.0017694","27( 7,20)-27( 7,21)",-15.1211,,1894.19419,1894.19427,CDMS
58,H2CO,Formaldehyde,"0.0019154, 0.0019154","35( 8,27)-35( 8,28)",-17.0487,,2946.13436,2946.13445,CDMS
59,H2CO,Formaldehyde,"0.002056, 0.002056","20( 6,14)-20( 6,15)",-14.405,,1156.40139,1156.40149,CDMS
60,H2CO,Formaldehyde,"0.002454, 0.002454","8( 4, 4)- 8( 4, 5)",-13,,314.13154,314.13166,CDMS
61,H2CO,Formaldehyde,"0.0025291000000000003, 0.0025291","44( 9,35)-44( 9,36)",-18.4233,,4393.26989,4393.27001,CDMS
62,H2CO,Formaldehyde,"0.002939, 0.002939","28( 7,21)-28( 7,22)",-14.8379,,1991.87622,1991.87636,CDMS
63,H2CO,Formaldehyde,"0.0029947, 0.0029947","36( 8,28)-36( 8,29)",-16.8546,,3071.49197,3071.49211,CDMS
64,H2CO,Formaldehyde,"0.0031104, 0.0031104","14( 5, 9)-14( 5,10)",-12.8579,,660.90831,660.90846,CDMS
65,H2CO,Formaldehyde,"0.0036920000000000004, 0.003692","21( 6,15)-21( 6,16)",-14.0238,,1229.75111,1229.75129,CDMS
66,H2CO,Formaldehyde,"0.0037677, 0.0037677","45( 9,36)-45( 9,37)",-18.3136,,4549.54203,4549.54222,CDMS
67,H2CO,Formaldehyde,"0.0045631000000000005, 0.0045631","4( 3, 1)- 4( 3, 2), F= 4- 3",-13.4925,,140.93847,140.93869,CDMS
68,H2CO,Formaldehyde,"0.0045658, 0.0045658","4( 3, 1)- 4( 3, 2), F= 5- 4",-13.4895,,140.93847,140.93869,CDMS
69,H2CO,Formaldehyde,"0.0045726000000000004, 0.0045726","4( 3, 1)- 4( 3, 2), F= 3- 3",-12.3146,,140.93847,140.93869,CDMS
70,H2CO,Formaldehyde,"0.0045726000000000004, 0.0045726","4( 3, 1)- 4( 3, 2), F= 4- 4",-12.222,,140.93847,140.93869,CDMS
71,H2CO,Formaldehyde,"0.0045726000000000004, 0.0045726","4( 3, 1)- 4( 3, 2), F= 5- 5",-12.108,,140.93847,140.93869,CDMS
72,H2CO,Formaldehyde,"0.0045728, 0.0045728","4( 3, 1)- 4( 3, 2)",-11.7003,,140.93847,140.93869,CDMS
73,H2CO,Formaldehyde,"0.0045794, 0.0045794","4( 3, 1)- 4( 3, 2), F= 4- 5",-13.4869,,140.93847,140.93869,CDMS
74,H2CO,Formaldehyde,"0.0045820999999999995, 0.0045821","4( 3, 1)- 4( 3, 2), F= 3- 4",-13.4889,,140.93847,140.93869,CDMS
75,H2CO,Formaldehyde,"0.0046219, 0.0046219","37( 8,29)-37( 8,30)",-16.6764,,3200.31888,3200.3191,CDMS
76,H2CO,Formaldehyde,"0.0047892, 0.0047892","29( 7,22)-29( 7,23)",-14.5754,,2093.04367,2093.0439,CDMS
77,H2CO,Formaldehyde,"0.0055603, 0.0055603","46( 9,37)-46( 9,38)",-18.2168,,4709.25874,4709.259,CDMS
78,H2CO,Formaldehyde,"0.0062099, 0.0062099","15( 5,10)-15( 5,11)",-12.3625,,713.33848,713.33878,CDMS
79,H2CO,Formaldehyde,"0.0063694, 0.0063694","9( 4, 5)- 9( 4, 6)",-12.265,,345.59698,345.59729,CDMS
80,H2CO,Formaldehyde,"0.006442000000000001, 0.006442","22( 6,16)-22( 6,17)",-13.6715,,1306.59618,1306.59649,CDMS
81,H2CO,Formaldehyde,"0.0070465, 0.0070465","38( 8,30)-38( 8,31)",-16.5137,,3332.61409,3332.61443,CDMS
82,H2CO,Formaldehyde,"0.0076718, 0.0076718","30( 7,23)-30( 7,24)",-14.3326,,2197.69654,2197.69691,CDMS
83,H2CO,Formaldehyde,"0.008132400000000001, 0.0081324","47( 9,38)-47( 9,39)",-18.1327,,4872.41841,4872.4188,CDMS
84,H2CO,Formaldehyde,"0.0106188, 0.0106188","39( 8,31)-39( 8,32)",-16.3658,,3468.37659,3468.3771,CDMS
85,H2CO,Formaldehyde,"0.010955, 0.010955","23( 6,17)-23( 6,18)",-13.3459,,1386.93688,1386.9374,CDMS
86,H2CO,Formaldehyde,"0.0117921, 0.0117921","48( 9,39)-48( 9,40)",-18.0609,,5039.0189,5039.01947,CDMS
87,H2CO,Formaldehyde,"0.0118326, 0.0118326","16( 5,11)-16( 5,12)",-11.9109,,769.26889,769.26945,CDMS
88,H2CO,Formaldehyde,"0.0120917, 0.0120917","31( 7,24)-31( 7,25)",-14.1086,,2305.8341,2305.83469,CDMS
89,H2CO,Formaldehyde,"0.0148455, 0.0148455","10( 4, 6)-10( 4, 7)",-11.6244,,380.56337,380.56409,CDMS
90,H2CO,Formaldehyde,"0.0158263, 0.0158263","40( 8,32)-40( 8,33)",-16.2323,,3607.60523,3607.60599,CDMS
91,HDO,Water,"0.016165, 0.016165","8( 6, 2)- 8( 6, 3)",-12.6634,,1589.84397,1589.84475,JPL
92,H2CO,Formaldehyde,"0.0169573, 0.0169573","49( 9,40)-49( 9,41)",-18.0012,,5209.05848,5209.0593,CDMS
93,H2CO,Formaldehyde,"0.0181955, 0.0181955","24( 6,18)-24( 6,19)",-13.0451,,1470.77335,1470.77422,CDMS
94,H2CO,Formaldehyde,"0.018275, 0.018275","5( 3, 2)- 5( 3, 3), F= 6- 5",-12.5721,,158.4208,158.42168,CDMS
95,H2CO,Formaldehyde,"0.0182781, 0.0182781","5( 3, 2)- 5( 3, 3), F= 5- 4",-12.5733,,158.4208,158.42168,CDMS
96,H2CO,Formaldehyde,"0.018283300000000002, 0.0182833","5( 3, 2)- 5( 3, 3), F= 4- 4",-11.1929,,158.4208,158.42168,CDMS
97,H2CO,Formaldehyde,"0.018283300000000002, 0.0182833","5( 3, 2)- 5( 3, 3), F= 5- 5",-11.1174,,158.4208,158.42168,CDMS
98,H2CO,Formaldehyde,"0.018283300000000002, 0.0182833","5( 3, 2)- 5( 3, 3), F= 6- 6",-11.0277,,158.4208,158.42168,CDMS
99,H2CO,Formaldehyde,"0.0182834, 0.0182834","5( 3, 2)- 5( 3, 3)",-10.6108,,158.4208,158.42168,CDMS
100,H2CO,Formaldehyde,"0.0182885, 0.0182885","5( 3, 2)- 5( 3, 3), F= 4- 5",-12.5728,,158.4208,158.42168,CDMS
101,H2CO,Formaldehyde,"0.018291599999999998, 0.0182916","5( 3, 2)- 5( 3, 3), F= 5- 6",-12.5713,,158.4208,158.42168,CDMS
102,H2CO,Formaldehyde,"0.0187707, 0.0187707","32( 7,25)-32( 7,26)",-13.9024,,2417.45637,2417.45727,CDMS
103,H2CO,Formaldehyde,"0.021646, 0.021646","17( 5,12)-17( 5,13)",-11.4983,,828.70068,828.70172,CDMS
104,H2CO,Formaldehyde,"0.0233406, 0.0233406","41( 8,33)-41( 8,34)",-16.1128,,3750.29885,3750.29997,CDMS
105,H2CO,Formaldehyde,"0.024191, 0.024191","50( 9,41)-50( 9,42)",-17.9533,,5382.53485,5382.53601,CDMS
106,H2CO,Formaldehyde,"0.0287262, 0.0287262","33( 7,26)-33( 7,27)",-13.7132,,2532.56275,2532.56413,CDMS
107,H2CO,Formaldehyde,"0.029577000000000006, 0.029577","25( 6,19)-25( 6,20)",-12.7675,,1558.10632,1558.10774,CDMS
108,H2CO,Formaldehyde,"0.031773499999999996, 0.0317735","11( 4, 7)-11( 4, 8)",-11.0592,,419.03173,419.03326,CDMS
109,H2CO,Formaldehyde,"0.034078699999999996, 0.0340787","42( 8,34)-42( 8,35)",-16.0068,,3896.45616,3896.4578,CDMS
110,H2CO,Formaldehyde,"0.034246000000000006, 0.034246","51( 9,42)-51( 9,43)",-17.9169,,5559.44627,5559.44792,CDMS
111,HDO,Water,"0.0354891, 0.0354891","6( 5, 1)- 6( 5, 2)",-11.1958,,1020.32639,1020.32809,JPL
112,H2CO,Formaldehyde,"0.0382012, 0.0382012","18( 5,13)-18( 5,14)",-11.1206,,891.63458,891.63641,CDMS
113,H2CO,Formaldehyde,"0.04337530000000001, 0.0433753","34( 7,27)-34( 7,28)",-13.5405,,2651.15283,2651.15491,CDMS
114,H2CO,Formaldehyde,"0.0471301, 0.0471301","26( 6,20)-26( 6,21)",-12.5116,,1648.93579,1648.93805,CDMS
115,H2CO,Formaldehyde,"0.0481222, 0.0481222","52( 9,43)-52( 9,44)",-17.8918,,5739.79046,5739.79277,CDMS
116,H2CO,Formaldehyde,"0.0492821, 0.0492821","43( 8,35)-43( 8,36)",-15.9139,,4046.07616,4046.07853,CDMS
117,HDO,Water,"0.0546183, 0.0546183","4( 4, 0)- 4( 4, 1)",-10.2126,,578.85836,578.86098,JPL
118,H2CO,Formaldehyde,"0.0548083, 0.0548083","6( 3, 3)- 6( 3, 4), F= 7- 6",-11.8665,,179.40294,179.40557,CDMS
119,H2CO,Formaldehyde,"0.0548147, 0.0548147","6( 3, 3)- 6( 3, 4), F= 6- 5",-11.8672,,179.40294,179.40557,CDMS
120,H2CO,Formaldehyde,"0.0548174, 0.0548174","6( 3, 3)- 6( 3, 4), F= 5- 5",-10.3231,,179.40294,179.40557,CDMS
121,H2CO,Formaldehyde,"0.0548174, 0.0548174","6( 3, 3)- 6( 3, 4), F= 6- 6",-10.2593,,179.40294,179.40557,CDMS
122,H2CO,Formaldehyde,"0.0548174, 0.0548174","6( 3, 3)- 6( 3, 4), F= 7- 7",-10.1851,,179.40294,179.40557,CDMS
123,H2CO,Formaldehyde,"0.05481750000000001, 0.0548175","6( 3, 3)- 6( 3, 4)",-9.7612,,179.40294,179.40557,CDMS
124,H2CO,Formaldehyde,"0.0548201, 0.0548201","6( 3, 3)- 6( 3, 4), F= 5- 6",-11.8671,,179.40294,179.40557,CDMS
125,H2CO,Formaldehyde,"0.05482650000000001, 0.0548265","6( 3, 3)- 6( 3, 4), F= 6- 7",-11.8662,,179.40294,179.40557,CDMS
126,H2CO,Formaldehyde,"0.0634462, 0.0634462","12( 4, 8)-12( 4, 9)",-10.5559,,461.00364,461.00668,CDMS
127,H2CO,Formaldehyde,"0.06466970000000001, 0.0646697","35( 7,28)-35( 7,29)",-13.3835,,2773.22645,2773.22955,CDMS
128,H2CO,Formaldehyde,"0.0653011, 0.0653011","19( 5,14)-19( 5,15)",-10.7745,,958.07159,958.07472,CDMS
129,H2CO,Formaldehyde,"0.0671383, 0.0671383","53( 9,44)-53( 9,45)",-17.8779,,5923.56539,5923.56861,CDMS
130,H2CO,Formaldehyde,"0.07061709999999999, 0.0706171","44( 8,36)-44( 8,37)",-15.8339,,4199.15755,4199.16094,CDMS
131,H2CO,Formaldehyde,"0.0711392, 0.0711392","2( 2, 0)- 2( 2, 1)",-9.7574,,57.60858,57.612,CDMS
132,H2CO,Formaldehyde,"0.0737304, 0.0737304","27( 6,21)-27( 6,22)",-12.2763,,1743.26232,1743.26586,CDMS
133,HDO,Water,"0.0793758, 0.0793758","9( 6, 3)- 9( 6, 4)",-11.6221,,1790.4571,1790.46091,JPL
134,H2CO,Formaldehyde,"0.093023, 0.093023","54( 9,45)-54( 9,46)",-17.8748,,6110.7689,6110.77336,CDMS
135,H2CO,Formaldehyde,"0.0952693, 0.0952693","36( 7,29)-36( 7,30)",-13.2417,,2898.7829,2898.78747,CDMS
136,H2CO,Formaldehyde,"0.10030240000000001, 0.1003024","45( 8,37)-45( 8,38)",-15.7664,,4355.69889,4355.70371,CDMS
137,HDO,Water,"0.1031505, 0.1031505","12( 7, 5)-12( 7, 6)",-12.837,,2794.62583,2794.63078,JPL
138,H2CO,Formaldehyde,"0.1084834, 0.1084834","20( 5,15)-20( 5,16)",-10.4572,,1028.01301,1028.01822,CDMS
139,H2CO,Formaldehyde,"0.1133898, 0.1133898","28( 6,22)-28( 6,23)",-12.0603,,1841.08636,1841.0918,CDMS
140,H2CO,Formaldehyde,"0.1196146, 0.1196146","13( 4, 9)-13( 4,10)",-10.1049,,506.48052,506.48626,CDMS
141,H2CO,Formaldehyde,"0.1280273, 0.1280273","55( 9,46)-55( 9,47)",-17.8824,,6301.39884,6301.40499,CDMS
142,H2CO,Formaldehyde,"0.1369254, 0.1369254","7( 3, 4)- 7( 3, 5)",-9.0645,,203.88632,203.8929,CDMS
143,H2CO,Formaldehyde,"0.1387619, 0.1387619","37( 7,30)-37( 7,31)",-13.1146,,3027.82189,3027.82855,CDMS
144,H2CO,Formaldehyde,"0.1412691, 0.1412691","46( 8,38)-46( 8,39)",-15.711,,4515.69917,4515.70595,CDMS
145,H2CO,Formaldehyde,"0.1716289, 0.1716289","29( 6,23)-29( 6,24)",-11.8628,,1942.40805,1942.41628,CDMS
146,H2CO,Formaldehyde,"0.1750649, 0.1750649","56( 9,47)-56( 9,48)",-17.9005,,6495.45276,6495.46117,CDMS
147,H2CO,Formaldehyde,"0.1756413, 0.1756413","21( 5,16)-21( 5,17)",-10.1664,,1101.45971,1101.46814,CDMS
148,H2CO,Formaldehyde,"0.19736089999999995, 0.1973609","47( 8,39)-47( 8,40)",-15.6677,,4679.15682,4679.16629,CDMS
149,H2CO,Formaldehyde,"0.1999401, 0.1999401","38( 7,31)-38( 7,32)",-13.0017,,3160.34313,3160.35272,CDMS
150,HDO,Water,"0.2099135, 0.2099135","7( 5, 2)- 7( 5, 3)",-9.9433,,1176.92197,1176.93205,JPL
151,H2CO,Formaldehyde,"0.2148116, 0.2148116","14( 4,10)-14( 4,11)",-9.6989,,555.46412,555.47443,CDMS
152,H2CO,Formaldehyde,"0.2378843, 0.2378843","57( 9,48)-57( 9,49)",-17.9289,,6692.92865,6692.94007,CDMS
153,H2CO,Formaldehyde,"0.25594659999999997, 0.2559466","30( 6,24)-30( 6,25)",-11.6829,,2047.22781,2047.24009,CDMS
154,H2CO,Formaldehyde,"0.2735807, 0.2735807","48( 8,40)-48( 8,41)",-15.6359,,4846.07053,4846.08366,CDMS
155,H2CO,Formaldehyde,"0.2778114, 0.2778114","22( 5,17)-22( 5,18)",-9.9002,,1178.41282,1178.42616,CDMS
156,H2CO,Formaldehyde,"0.2851468, 0.2851468","39( 7,32)-39( 7,33)",-12.9025,,3296.3459,3296.35959,CDMS
157,H2CO,Formaldehyde,"0.30086989999999997, 0.3008699","8( 3, 5)- 8( 3, 6)",-8.4764,,231.87268,231.88712,CDMS
158,HDO,Water,"0.3103927, 0.3103927","10( 6, 4)-10( 6, 5)",-10.8068,,2013.48509,2013.49999,JPL
159,HDO,Water,"0.3333633, 0.3333633","13( 7, 6)-13( 7, 7)",-12.2722,,3083.03981,3083.05581,JPL
160,NH3 v=0,Ammonia,"0.3454764, 0.3454764",24( 6)0a-24(-6)0s,-19.2081,,8051.29648,8051.31306,JPL
161,H2CO,Formaldehyde,"0.3555677, 0.3555677","3( 2, 1)- 3( 2, 2)",-8.53,,68.09376,68.11082,CDMS
162,H2CO,Formaldehyde,"0.3700186, 0.3700186","15( 4,11)-15( 4,12)",-9.3322,,607.95601,607.97377,CDMS
163,H2CO,Formaldehyde,"0.3763947, 0.3763947","49( 8,41)-49( 8,42)",-15.6157,,5016.43887,5016.45693,CDMS
164,H2CO,Formaldehyde,"0.3764053, 0.3764053","31( 6,25)-31( 6,26)",-11.5198,,2155.54609,2155.56415,CDMS
165,H2CO,Formaldehyde,"0.4027019000000001, 0.4027019","40( 7,33)-40( 7,34)",-12.8167,,3435.82963,3435.84896,CDMS
